GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cursosaf,com.facens.cursosaf.application.exception,BadRequestException,5,0,0,0,2,0,1,0,1,0
cursosaf,com.facens.cursosaf.application.exception,GenericException.GenericExceptionBuilder,27,0,0,0,1,0,5,0,5,0
cursosaf,com.facens.cursosaf.application.exception,GenericException,125,0,22,0,8,0,21,0,10,0
cursosaf,com.facens.cursosaf.domain.service.implementacao,TopicServiceImplementacao,128,3,4,0,29,1,9,1,7,1
cursosaf,com.facens.cursosaf.domain.service.implementacao,CourseServiceImplementacao,96,3,4,0,20,1,9,1,7,1
cursosaf,com.facens.cursosaf.domain.service.implementacao,RegistrationServiceImplementacao,117,3,4,0,26,1,8,1,6,1
cursosaf,com.facens.cursosaf.domain.service.implementacao,UserServiceImplementacao,106,3,4,0,23,1,9,1,7,1
cursosaf,com.facens.cursosaf,ServletInitializer,12,0,0,0,2,0,2,0,2,0
cursosaf,com.facens.cursosaf,CursosafApplication,5,3,0,0,2,1,1,1,1,1
cursosaf,com.facens.cursosaf.application.controller,CourseController,7,43,0,0,2,11,1,6,1,6
cursosaf,com.facens.cursosaf.application.controller,UserController,47,3,0,0,12,1,6,1,6,1
cursosaf,com.facens.cursosaf.application.controller,RegistrationController,41,3,0,0,10,1,5,1,5,1
cursosaf,com.facens.cursosaf.application.controller,TopicController,49,3,0,0,12,1,6,1,6,1
cursosaf,com.facens.cursosaf.domain.valueobj,CPF,85,0,14,0,5,0,16,0,9,0
cursosaf,com.facens.cursosaf.domain.valueobj,Email,85,0,14,0,5,0,16,0,9,0
cursosaf,com.facens.cursosaf.domain.valueobj,Email.EmailBuilder,18,0,0,0,1,0,4,0,4,0
cursosaf,com.facens.cursosaf.domain.valueobj,CPF.CPFBuilder,18,0,0,0,1,0,4,0,4,0
cursosaf,com.facens.cursosaf.domain.enums,StatusTopic,0,27,0,0,0,5,0,1,0,1
cursosaf,com.facens.cursosaf.domain.factories,TopicFactory,74,0,4,0,23,0,6,0,4,0
cursosaf,com.facens.cursosaf.domain.factories,UserFactory,93,0,2,0,27,0,5,0,4,0
cursosaf,com.facens.cursosaf.domain.factories,CourseFactory,66,0,6,0,18,0,7,0,4,0
cursosaf,com.facens.cursosaf.domain.factories,RegistrationFactory,56,0,4,0,17,0,6,0,4,0
